shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence
4,-73.872696,40.566145,1
4,-73.871400,40.566580,2
4,-73.869750,40.567150,3
4,-73.868350,40.567620,4
4,-73.867790,40.567840,5
4,-73.867120,40.568100,6
4,-73.865330,40.568800,7
4,-73.864070,40.569310,8
4,-73.863280,40.569630,9
4,-73.862490,40.569950,10
4,-73.862380,40.569990,11
4,-73.861600,40.570330,12
4,-73.860800,40.570650,13
4,-73.860010,40.570980,14
4,-73.859210,40.571300,15
4,-73.858420,40.571630,16
4,-73.858320,40.571670,17
4,-73.857530,40.572000,18
4,-73.856730,40.572320,19
4,-73.855940,40.572660,20
4,-73.855140,40.572980,21
4,-73.854350,40.573300,22
4,-73.853560,40.573640,23
4,-73.852740,40.573960,24
4,-73.851960,40.574290,25
4,-73.851170,40.574610,26
4,-73.850360,40.574940,27
4,-73.849580,40.575260,28
4,-73.848790,40.575580,29
4,-73.847980,40.575920,30
4,-73.847140,40.576270,31
4,-73.846310,40.576600,32
4,-73.846210,40.576650,33
4,-73.845510,40.576980,34
4,-73.844700,40.577310,35
4,-73.843880,40.577590,36
4,-73.843060,40.577880,37
4,-73.842220,40.578140,38
4,-73.841390,40.578410,39
4,-73.840570,40.578690,40
4,-73.839750,40.578960,41
4,-73.838930,40.579240,42
4,-73.838100,40.579510,43
4,-73.837280,40.579790,44
4,-73.837130,40.579840,45
4,-73.836720,40.579960,46
4,-73.836280,40.580100,47
4,-73.835430,40.580320,48
4,-73.834580,40.580550,49
4,-73.833730,40.580790,50
4,-73.832950,40.581010,51
4,-73.832880,40.581030,52
4,-73.832780,40.581050,53
4,-73.832450,40.581130,54
4,-73.832030,40.581250,55
4,-73.831930,40.581280,56
4,-73.830880,40.581570,57
4,-73.830770,40.581600,58
4,-73.830110,40.581791,59
4,-73.829910,40.581850,60
4,-73.830230,40.582590,61
4,-73.830680,40.583470,62
4,-73.830910,40.583900,63
4,-73.830950,40.583980,64
4,-73.831180,40.583930,65
4,-73.831730,40.583784,66
7,-73.830926,40.584371,1
7,-73.832419,40.584051,2
7,-73.838967,40.583454,3
7,-73.852418,40.583656,4
7,-73.854805,40.583216,5
7,-73.861141,40.580554,6
7,-73.867554,40.577944,7
7,-73.872115,40.576854,8
7,-73.884429,40.573922,9
7,-73.893145,40.572407,10
7,-73.904547,40.569980,11
7,-73.916859,40.566968,12
7,-73.925826,40.564361,13
7,-73.929902,40.563307,14
7,-73.945939,40.563588,15
7,-73.957728,40.564748,16
7,-73.977178,40.566218,17
7,-73.994106,40.567082,18
7,-74.000262,40.567960,19
7,-74.006496,40.568942,20
7,-74.010737,40.569916,21
7,-74.014185,40.571927,22
7,-74.017061,40.575490,23
7,-74.024074,40.583308,24
7,-74.028514,40.588971,25
7,-74.038935,40.605163,26
7,-74.041936,40.612173,27
7,-74.043697,40.618505,28
7,-74.044549,40.621688,29
7,-74.044397,40.627618,30
7,-74.041233,40.639108,31
7,-74.032933,40.649032,32
7,-74.026418,40.646277,33
7,-74.032933,40.649032,34
7,-74.024108,40.659939,35
7,-74.021481,40.678334,36
7,-74.010366,40.690153,37
7,-74.004191,40.700230,38
7,-74.004602,40.701755,39
7,-74.006726,40.703653,40
8,-74.006694,40.703626,1
8,-74.004829,40.701964,2
8,-74.004164,40.700215,3
8,-74.005983,40.698349,4
8,-74.010208,40.690066,5
8,-74.021225,40.678667,6
8,-74.024129,40.659944,7
8,-74.032933,40.649032,8
8,-74.026418,40.646275,9
8,-74.032933,40.649032,10
8,-74.041230,40.639116,11
8,-74.044362,40.627640,12
8,-74.044642,40.621731,13
8,-74.042590,40.613028,14
8,-74.040444,40.607807,15
8,-74.037364,40.602376,16
8,-74.028452,40.589152,17
8,-74.014244,40.572003,18
8,-74.010715,40.569817,19
8,-74.006450,40.568682,20
8,-73.993445,40.567137,21
8,-73.976226,40.566086,22
8,-73.958387,40.564660,23
8,-73.944863,40.563577,24
8,-73.929270,40.563262,25
8,-73.884925,40.573716,26
8,-73.867554,40.577870,27
8,-73.854743,40.583259,28
8,-73.852532,40.583652,29
8,-73.838937,40.583452,30
8,-73.832417,40.584051,31
8,-73.830881,40.584382,32
16,-74.074166,40.646111,1
16,-74.072706,40.647004,2
16,-74.060559,40.651994,3
16,-74.039373,40.676079,4
16,-74.029011,40.694722,5
16,-74.023928,40.715407,6
16,-74.017764,40.715029,7
16,-74.023928,40.715407,8
16,-74.013681,40.751275,9
16,-74.006614,40.761325,10
16,-74.004081,40.760280,11
17,-74.006698,40.703612,1
17,-74.005273,40.702372,2
17,-73.996096,40.704273,3
17,-73.995742,40.703539,4
17,-73.996096,40.704273,5
17,-73.972580,40.710119,6
17,-73.970130,40.708570,7
17,-73.972580,40.710119,8
17,-73.967318,40.722011,9
17,-73.964863,40.720837,10
17,-73.967317,40.722011,11
17,-73.964852,40.731406,12
17,-73.967444,40.743192,13
17,-73.970724,40.743914,14
17,-73.967444,40.743192,15
17,-73.961992,40.741988,16
17,-73.961252,40.741825,17
18,-73.961256,40.741825,1
18,-73.961992,40.741987,2
18,-73.967444,40.743192,3
18,-73.970730,40.743914,4
18,-73.967444,40.743192,5
18,-73.964860,40.731406,6
18,-73.967326,40.722012,7
18,-73.964871,40.720837,8
18,-73.967326,40.722012,9
18,-73.972589,40.710119,10
18,-73.970137,40.708570,11
18,-73.972589,40.710119,12
18,-73.996104,40.704272,13
18,-73.995746,40.703539,14
18,-73.996104,40.704272,15
18,-74.005278,40.702372,16
18,-74.006735,40.703637,17
27,-73.882633,40.567323,1
27,-73.882460,40.567020,2
27,-73.882090,40.566390,3
27,-73.881970,40.566570,4
27,-73.881882,40.566688,5
27,-73.881760,40.566850,6
27,-73.881680,40.566920,7
27,-73.881530,40.567020,8
27,-73.881370,40.567090,9
27,-73.881170,40.567130,10
27,-73.880790,40.567140,11
27,-73.880420,40.567100,12
27,-73.880140,40.567120,13
27,-73.879880,40.567160,14
27,-73.879700,40.567210,15
27,-73.879340,40.567410,16
27,-73.879040,40.567530,17
27,-73.878700,40.567680,18
27,-73.878360,40.567820,19
27,-73.877450,40.568230,20
27,-73.876630,40.568620,21
27,-73.874710,40.569540,22
27,-73.874560,40.569610,23
27,-73.872130,40.570770,24
27,-73.871730,40.570940,25
27,-73.871410,40.571040,26
27,-73.871030,40.571100,27
27,-73.870490,40.571120,28
27,-73.870330,40.571120,29
27,-73.869790,40.571000,30
27,-73.869520,40.570920,31
27,-73.869250,40.570800,32
27,-73.868970,40.570640,33
27,-73.868790,40.570520,34
27,-73.868530,40.570210,35
27,-73.868340,40.569920,36
27,-73.868180,40.569620,37
27,-73.868120,40.569400,38
27,-73.868120,40.568930,39
27,-73.868150,40.568830,40
27,-73.868160,40.568740,41
27,-73.868270,40.568520,42
27,-73.868590,40.568100,43
27,-73.868760,40.567930,44
